tm,DVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,-4.049999999999975495e-03
2.000000000000000000e+00,1.000000000000000000e+00,-3.224999999999944491e-03
3.000000000000000000e+00,1.000000000000000000e+00,-1.624999999999943113e-03
4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00,-3.224999999999944491e-03
7.000000000000000000e+00,1.000000000000000000e+00,1.600000000000001378e-03
8.000000000000000000e+00,1.000000000000000000e+00,-2.424999999999855223e-03
9.000000000000000000e+00,1.000000000000000000e+00,8.000000000000894850e-04
1.000000000000000000e+01,1.000000000000000000e+00,3.200000000000002755e-03
1.100000000000000000e+01,1.000000000000000000e+00,-8.249999999998536282e-04
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00,1.600000000000001378e-03
1.400000000000000000e+01,1.000000000000000000e+00,-2.424999999999855223e-03
1.500000000000000000e+01,1.000000000000000000e+00,3.200000000000002755e-03
1.600000000000000000e+01,1.000000000000000000e+00,4.825000000000123461e-03
1.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+00,7.250000000000156493e-03
1.900000000000000000e+01,1.000000000000000000e+00,2.400000000000090863e-03
2.000000000000000000e+01,1.000000000000000000e+00,5.625000000000035354e-03
2.100000000000000000e+01,1.000000000000000000e+00,6.425000000000125056e-03
2.200000000000000000e+01,1.000000000000000000e+00,6.425000000000125056e-03
2.300000000000000000e+01,1.000000000000000000e+00,9.650000000000069980e-03
2.400000000000000000e+01,1.000000000000000000e+00,1.287500000000001490e-02
2.500000000000000000e+01,1.000000000000000000e+00,8.850000000000158087e-03
2.600000000000000000e+01,1.000000000000000000e+00,8.850000000000158087e-03
2.700000000000000000e+01,1.000000000000000000e+00,1.207500000000010301e-02
2.800000000000000000e+01,1.000000000000000000e+00,1.207500000000010301e-02
2.900000000000000000e+01,1.000000000000000000e+00,9.650000000000069980e-03
3.000000000000000000e+01,1.000000000000000000e+00,1.127500000000001244e-02
3.100000000000000000e+01,1.000000000000000000e+00,1.610000000000013504e-02
3.200000000000000000e+01,1.000000000000000000e+00,1.367500000000010374e-02
3.300000000000000000e+01,1.000000000000000000e+00,1.207500000000010301e-02
3.400000000000000000e+01,1.000000000000000000e+00,1.690000000000004693e-02
3.500000000000000000e+01,1.000000000000000000e+00,1.690000000000004693e-02
3.600000000000000000e+01,1.000000000000000000e+00,1.530000000000004620e-02
3.700000000000000000e+01,1.000000000000000000e+00,2.335000000000011372e-02
3.800000000000000000e+01,1.000000000000000000e+00,1.690000000000004693e-02
3.900000000000000000e+01,1.000000000000000000e+00,1.932500000000008170e-02
4.000000000000000000e+01,1.000000000000000000e+00,2.255000000000002489e-02
4.100000000000000000e+01,1.000000000000000000e+00,2.012499999999999359e-02
4.200000000000000000e+01,1.000000000000000000e+00,2.577500000000014849e-02
4.300000000000000000e+01,1.000000000000000000e+00,3.060000000000009240e-02
4.400000000000000000e+01,1.000000000000000000e+00,2.577500000000014849e-02
4.500000000000000000e+01,1.000000000000000000e+00,2.577500000000014849e-02
4.600000000000000000e+01,1.000000000000000000e+00,2.817500000000006111e-02
4.700000000000000000e+01,1.000000000000000000e+00,3.060000000000009240e-02
4.800000000000000000e+01,1.000000000000000000e+00,2.817500000000006111e-02
4.900000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
5.000000000000000000e+01,1.000000000000000000e+00,3.545000000000016194e-02
5.100000000000000000e+01,1.000000000000000000e+00,3.625000000000007383e-02
5.200000000000000000e+01,1.000000000000000000e+00,3.302500000000012370e-02
5.300000000000000000e+01,1.000000000000000000e+00,4.107500000000001428e-02
5.400000000000000000e+01,1.000000000000000000e+00,4.187500000000010658e-02
5.500000000000000000e+01,1.000000000000000000e+00,4.270000000000014062e-02
5.600000000000000000e+01,1.000000000000000000e+00,4.107500000000001428e-02
5.700000000000000000e+01,1.000000000000000000e+00,4.832499999999999296e-02
5.800000000000000000e+01,1.000000000000000000e+00,4.350000000000005251e-02
5.900000000000000000e+01,1.000000000000000000e+00,4.270000000000014062e-02
6.000000000000000000e+01,1.000000000000000000e+00,4.995000000000011930e-02
6.100000000000000000e+01,1.000000000000000000e+00,4.995000000000011930e-02
6.200000000000000000e+01,1.000000000000000000e+00,5.235000000000002846e-02
6.300000000000000000e+01,1.000000000000000000e+00,5.317500000000006249e-02
6.400000000000000000e+01,1.000000000000000000e+00,5.397500000000014786e-02
6.500000000000000000e+01,1.000000000000000000e+00,4.912500000000008527e-02
6.600000000000000000e+01,1.000000000000000000e+00,5.155000000000011656e-02
6.700000000000000000e+01,1.000000000000000000e+00,5.477500000000005975e-02
6.800000000000000000e+01,1.000000000000000000e+00,6.202500000000003844e-02
6.900000000000000000e+01,1.000000000000000000e+00,5.960000000000000714e-02
7.000000000000000000e+01,1.000000000000000000e+00,6.282500000000013074e-02
7.100000000000000000e+01,1.000000000000000000e+00,5.960000000000000714e-02
7.200000000000000000e+01,1.000000000000000000e+00,6.362500000000004263e-02
7.300000000000000000e+01,1.000000000000000000e+00,6.362500000000004263e-02
7.400000000000000000e+01,1.000000000000000000e+00,7.007500000000010942e-02
7.500000000000000000e+01,1.000000000000000000e+00,6.847500000000010523e-02
7.600000000000000000e+01,1.000000000000000000e+00,6.927500000000001712e-02
7.700000000000000000e+01,1.000000000000000000e+00,7.090000000000014346e-02
7.800000000000000000e+01,1.000000000000000000e+00,7.250000000000014766e-02
7.900000000000000000e+01,1.000000000000000000e+00,7.410000000000013798e-02
8.000000000000000000e+01,1.000000000000000000e+00,8.055000000000003824e-02
8.100000000000000000e+01,1.000000000000000000e+00,7.652499999999999580e-02
8.200000000000000000e+01,1.000000000000000000e+00,8.457500000000006679e-02
8.300000000000000000e+01,1.000000000000000000e+00,7.975000000000012634e-02
8.400000000000000000e+01,1.000000000000000000e+00,8.217500000000015070e-02
8.500000000000000000e+01,1.000000000000000000e+00,8.217500000000015070e-02
8.600000000000000000e+01,1.000000000000000000e+00,8.942500000000012939e-02
8.700000000000000000e+01,1.000000000000000000e+00,8.860000000000009535e-02
8.800000000000000000e+01,1.000000000000000000e+00,9.022500000000004128e-02
8.900000000000000000e+01,1.000000000000000000e+00,8.860000000000009535e-02
9.000000000000000000e+01,1.000000000000000000e+00,9.182500000000004547e-02
9.100000000000000000e+01,1.000000000000000000e+00,9.667500000000010807e-02
9.200000000000000000e+01,1.000000000000000000e+00,9.747500000000001996e-02
9.300000000000000000e+01,1.000000000000000000e+00,9.907500000000002416e-02
9.400000000000000000e+01,1.000000000000000000e+00,9.747500000000001996e-02
9.500000000000000000e+01,1.000000000000000000e+00,9.990000000000005820e-02
9.600000000000000000e+01,1.000000000000000000e+00,9.990000000000005820e-02
9.700000000000000000e+01,1.000000000000000000e+00,1.047249999999999986e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.071500000000000369e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.071500000000000369e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.063250000000000028e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.039250000000000868e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.071500000000000369e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.103750000000001535e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.095500000000001195e-01
1.050000000000000000e+02,1.000000000000000000e+00,1.087500000000000411e-01
1.060000000000000000e+02,1.000000000000000000e+00,1.119750000000001577e-01
1.070000000000000000e+02,1.000000000000000000e+00,1.119750000000001577e-01
1.080000000000000000e+02,1.000000000000000000e+00,1.160000000000000198e-01
1.090000000000000000e+02,1.000000000000000000e+00,1.168000000000000982e-01
1.100000000000000000e+02,1.000000000000000000e+00,1.176250000000001322e-01
