tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,-7.999999999999118927e-04
3.000000000000000000e+00,1.000000000000000000e+00,-7.999999999999118927e-04
4.000000000000000000e+00,1.000000000000000000e+00,-7.999999999999118927e-04
5.000000000000000000e+00,1.000000000000000000e+00,-7.999999999999118927e-04
6.000000000000000000e+00,1.000000000000000000e+00,-4.025000000000033759e-03
7.000000000000000000e+00,1.000000000000000000e+00,2.425000000000032598e-03
8.000000000000000000e+00,1.000000000000000000e+00,-1.600000000000001378e-03
9.000000000000000000e+00,1.000000000000000000e+00,-3.224999999999944491e-03
1.000000000000000000e+01,1.000000000000000000e+00,-7.999999999999118927e-04
1.100000000000000000e+01,1.000000000000000000e+00,1.625000000000120706e-03
1.200000000000000000e+01,1.000000000000000000e+00,-4.025000000000033759e-03
1.300000000000000000e+01,1.000000000000000000e+00,4.025000000000033759e-03
1.400000000000000000e+01,1.000000000000000000e+00,4.025000000000033759e-03
1.500000000000000000e+01,1.000000000000000000e+00,-1.600000000000001378e-03
1.600000000000000000e+01,1.000000000000000000e+00,1.625000000000120706e-03
1.700000000000000000e+01,1.000000000000000000e+00,3.225000000000122300e-03
1.800000000000000000e+01,1.000000000000000000e+00,2.425000000000032598e-03
1.900000000000000000e+01,1.000000000000000000e+00,2.425000000000032598e-03
2.000000000000000000e+01,1.000000000000000000e+00,4.025000000000033759e-03
2.100000000000000000e+01,1.000000000000000000e+00,3.225000000000122300e-03
2.200000000000000000e+01,1.000000000000000000e+00,4.850000000000065196e-03
2.300000000000000000e+01,1.000000000000000000e+00,8.875000000000099823e-03
2.400000000000000000e+01,1.000000000000000000e+00,4.025000000000033759e-03
2.500000000000000000e+01,1.000000000000000000e+00,1.127500000000001244e-02
2.600000000000000000e+01,1.000000000000000000e+00,9.675000000000011716e-03
2.700000000000000000e+01,1.000000000000000000e+00,9.675000000000011716e-03
2.800000000000000000e+01,1.000000000000000000e+00,1.290000000000013358e-02
2.900000000000000000e+01,1.000000000000000000e+00,1.772500000000008097e-02
3.000000000000000000e+01,1.000000000000000000e+00,1.692499999999998866e-02
3.100000000000000000e+01,1.000000000000000000e+00,1.290000000000013358e-02
3.200000000000000000e+01,1.000000000000000000e+00,1.935000000000002343e-02
3.300000000000000000e+01,1.000000000000000000e+00,2.015000000000011227e-02
3.400000000000000000e+01,1.000000000000000000e+00,2.015000000000011227e-02
3.500000000000000000e+01,1.000000000000000000e+00,2.257499999999996662e-02
3.600000000000000000e+01,1.000000000000000000e+00,2.015000000000011227e-02
3.700000000000000000e+01,1.000000000000000000e+00,2.337500000000005546e-02
3.800000000000000000e+01,1.000000000000000000e+00,2.740000000000009095e-02
3.900000000000000000e+01,1.000000000000000000e+00,2.900000000000009168e-02
4.000000000000000000e+01,1.000000000000000000e+00,2.900000000000009168e-02
4.100000000000000000e+01,1.000000000000000000e+00,3.062500000000003414e-02
4.200000000000000000e+01,1.000000000000000000e+00,3.305000000000006544e-02
4.300000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
4.400000000000000000e+01,1.000000000000000000e+00,3.142500000000012644e-02
4.500000000000000000e+01,1.000000000000000000e+00,3.625000000000007383e-02
4.600000000000000000e+01,1.000000000000000000e+00,3.787500000000001282e-02
4.700000000000000000e+01,1.000000000000000000e+00,3.465000000000006963e-02
4.800000000000000000e+01,1.000000000000000000e+00,4.190000000000004832e-02
4.900000000000000000e+01,1.000000000000000000e+00,4.270000000000014062e-02
5.000000000000000000e+01,1.000000000000000000e+00,4.110000000000013642e-02
5.100000000000000000e+01,1.000000000000000000e+00,4.835000000000011511e-02
5.200000000000000000e+01,1.000000000000000000e+00,4.432500000000007961e-02
5.300000000000000000e+01,1.000000000000000000e+00,4.672499999999999570e-02
5.400000000000000000e+01,1.000000000000000000e+00,4.995000000000011930e-02
5.500000000000000000e+01,1.000000000000000000e+00,4.672499999999999570e-02
5.600000000000000000e+01,1.000000000000000000e+00,5.077499999999997293e-02
5.700000000000000000e+01,1.000000000000000000e+00,5.640000000000000568e-02
5.800000000000000000e+01,1.000000000000000000e+00,5.237499999999997019e-02
5.900000000000000000e+01,1.000000000000000000e+00,5.077499999999997293e-02
6.000000000000000000e+01,1.000000000000000000e+00,6.204999999999998017e-02
6.100000000000000000e+01,1.000000000000000000e+00,5.802500000000012509e-02
6.200000000000000000e+01,1.000000000000000000e+00,6.125000000000006828e-02
6.300000000000000000e+01,1.000000000000000000e+00,6.607500000000002260e-02
6.400000000000000000e+01,1.000000000000000000e+00,6.445000000000007667e-02
6.500000000000000000e+01,1.000000000000000000e+00,6.364999999999998437e-02
6.600000000000000000e+01,1.000000000000000000e+00,7.089999999999996305e-02
6.700000000000000000e+01,1.000000000000000000e+00,7.010000000000005116e-02
6.800000000000000000e+01,1.000000000000000000e+00,6.687500000000010103e-02
6.900000000000000000e+01,1.000000000000000000e+00,7.089999999999996305e-02
7.000000000000000000e+01,1.000000000000000000e+00,7.412500000000007971e-02
7.100000000000000000e+01,1.000000000000000000e+00,7.252500000000008940e-02
7.200000000000000000e+01,1.000000000000000000e+00,7.575000000000002565e-02
7.300000000000000000e+01,1.000000000000000000e+00,7.977500000000006808e-02
7.400000000000000000e+01,1.000000000000000000e+00,8.057499999999997997e-02
7.500000000000000000e+01,1.000000000000000000e+00,8.460000000000000853e-02
7.600000000000000000e+01,1.000000000000000000e+00,8.702500000000004676e-02
7.700000000000000000e+01,1.000000000000000000e+00,8.460000000000000853e-02
7.800000000000000000e+01,1.000000000000000000e+00,8.942500000000012939e-02
7.900000000000000000e+01,1.000000000000000000e+00,9.587500000000001577e-02
8.000000000000000000e+01,1.000000000000000000e+00,9.667500000000010807e-02
8.100000000000000000e+01,1.000000000000000000e+00,9.265000000000007951e-02
8.200000000000000000e+01,1.000000000000000000e+00,9.587500000000001577e-02
8.300000000000000000e+01,1.000000000000000000e+00,1.031249999999999944e-01
8.400000000000000000e+01,1.000000000000000000e+00,9.990000000000005820e-02
8.500000000000000000e+01,1.000000000000000000e+00,1.023250000000000826e-01
8.600000000000000000e+01,1.000000000000000000e+00,1.071500000000000369e-01
8.700000000000000000e+01,1.000000000000000000e+00,1.103749999999999731e-01
8.800000000000000000e+01,1.000000000000000000e+00,1.112000000000000072e-01
8.900000000000000000e+01,1.000000000000000000e+00,1.087749999999999828e-01
9.000000000000000000e+01,1.000000000000000000e+00,1.079750000000000709e-01
9.100000000000000000e+01,1.000000000000000000e+00,1.112000000000000072e-01
9.200000000000000000e+01,1.000000000000000000e+00,1.128000000000000114e-01
9.300000000000000000e+01,1.000000000000000000e+00,1.160250000000001280e-01
9.400000000000000000e+01,1.000000000000000000e+00,1.144000000000000156e-01
9.500000000000000000e+01,1.000000000000000000e+00,1.152250000000000496e-01
9.600000000000000000e+01,1.000000000000000000e+00,1.184499999999999859e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.200499999999999901e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.184499999999999859e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.192500000000000782e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.168250000000000399e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.224750000000000283e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.248750000000001109e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.265000000000000568e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.232750000000001067e-01
