t,MV,PV,DV,SP,MVI,MVP,MVD,MVFF,MAN
0.000000000000000000e+00,6.000000000000000000e+01,2.347700000000000031e+01,5.000000000000000000e+01,5.900000000000000000e+01,3.037317090660538810e+01,1.443751692220426008e+01,1.518931217119035182e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,6.000000000000001421e+01,2.367000000000000171e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.485360918430100128e+02,1.020154945722953101e+02,1.065205972707147168e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,6.000000000000000000e+01,2.347700000000000031e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.440197265293498106e+02,1.025727827254923881e+02,1.014469438038574225e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+00,6.000000000000000000e+01,2.379899999999999949e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.367213858711734815e+02,1.016430066357024344e+02,9.507837923547104708e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,6.000000000000000000e+01,2.370200000000000173e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.322441665105512811e+02,1.019230944639932090e+02,9.032107204655807209e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.500000000000000000e+00,6.000000000000000000e+01,2.396000000000000085e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.259162213096482787e+02,1.011781185908074576e+02,8.473810271884082113e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,6.000000000000000000e+01,2.360500000000000043e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.235171758532782178e+02,1.022031822922839552e+02,8.131399356099426257e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.500000000000000000e+00,6.000000000000000000e+01,2.392800000000000082e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.172826720577297408e+02,1.012705186991095729e+02,7.601215335862016786e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,6.000000000000000000e+01,2.354100000000000037e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.155368907241330731e+02,1.023879825088881859e+02,7.314890821524488729e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.500000000000000000e+00,6.000000000000000000e+01,2.360500000000000043e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.112709076408091846e+02,1.022031822922839552e+02,6.906772534852522938e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,6.000000000000000000e+01,2.360500000000000043e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.076010011993148368e+02,1.022031822922839552e+02,6.539781890703088152e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.500000000000000000e+00,6.000000000000000000e+01,2.367000000000000171e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.037409460787316817e+02,1.020154945722953101e+02,6.172545150643637157e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,6.000000000000000711e+01,2.386299999999999955e+01,5.000000000000000000e+01,5.900000000000000000e+01,-9.931757499529010147e+01,1.014582064190982180e+02,5.785936857619189055e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.500000000000000000e+00,6.000000000000000000e+01,2.399200000000000088e+01,5.000000000000000000e+01,5.900000000000000000e+01,-9.547885124080499963e+01,1.010857184825053423e+02,5.439313275829965733e+01,0.000000000000000000e+00,1.000000000000000000e+00
