t,MV,PV,DV,SP,MVI,MVP,MVD,MVFF,MAN
0.000000000000000000e+00,6.000000000000000000e+01,1.928699999999999903e+01,5.000000000000000000e+01,5.900000000000000000e+01,3.037317090660538810e+01,1.443751692220426008e+01,1.518931217119035182e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,6.000000000000000000e+01,1.941600000000000037e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.737425980356701984e+02,1.142989339697067095e+02,1.194436640659634890e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,6.000000000000001421e+01,1.928699999999999903e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.681603434923109148e+02,1.146714219062995710e+02,1.134889215860113580e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+00,6.000000000000000000e+01,1.954500000000000171e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.606013770027905707e+02,1.139264460331138196e+02,1.066749309696767511e+02,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,6.000000000000001421e+01,1.967399999999999949e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.541688433903868827e+02,1.135539580965209581e+02,1.006148852938659388e+02,0.000000000000000000e+00,1.000000000000000000e+00
2.500000000000000000e+00,5.999999999999998579e+01,1.931899999999999906e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.509261867343100221e+02,1.145790217979974415e+02,9.634716493631256640e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,5.999999999999998579e+01,1.957700000000000173e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.442780457110956149e+02,1.138340459248117185e+02,9.044399978628388226e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.500000000000000000e+00,6.000000000000001421e+01,1.970599999999999952e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.387079409480684262e+02,1.134615579882188428e+02,8.524638295984959768e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,6.000000000000000000e+01,1.964199999999999946e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.345576066204372978e+02,1.136463582048230734e+02,8.091124841561422443e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.500000000000000000e+00,5.999999999999998579e+01,1.960900000000000176e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.304539328779751486e+02,1.137416458165096032e+02,7.671228706146553122e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,6.000000000000000000e+01,1.970599999999999952e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.258030729562644154e+02,1.134615579882188428e+02,7.234151496804557269e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.500000000000000000e+00,6.000000000000000000e+01,1.964199999999999946e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.223384374543984450e+02,1.136463582048230734e+02,6.869207924957537159e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,6.000000000000000000e+01,1.964199999999999946e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.186884909295120565e+02,1.136463582048230734e+02,6.504213272468898310e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.500000000000000000e+00,6.000000000000000711e+01,1.986700000000000088e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.138992766264439922e+02,1.129966699433238517e+02,6.090260668312014758e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,6.000000000000000000e+01,1.986700000000000088e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.106632229205729345e+02,1.129966699433238517e+02,5.766655297724908280e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.500000000000000000e+00,6.000000000000000000e+01,1.964199999999999946e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.089323239028037307e+02,1.136463582048230734e+02,5.528596569798065730e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,5.999999999999999289e+01,1.980300000000000082e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.050407259378419838e+02,1.131814701599280966e+02,5.185925577791388008e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.500000000000000000e+00,6.000000000000000000e+01,1.983500000000000085e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.020955780406071511e+02,1.130890700516259670e+02,4.900650798898118410e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,5.999999999999999289e+01,1.977100000000000080e+01,5.000000000000000000e+01,5.900000000000000000e+01,-9.987084572062019561e+01,1.132738702682301835e+02,4.659697545239000505e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.500000000000000000e+00,6.000000000000000000e+01,1.973799999999999955e+01,5.000000000000000000e+01,5.900000000000000000e+01,-9.759045732232529247e+01,1.133691578799167416e+02,4.422129944240855082e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,6.000000000000000000e+01,1.948000000000000043e+01,5.000000000000000000e+01,5.900000000000000000e+01,-9.676950753226518032e+01,1.141141337531024647e+02,4.265537377916271566e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.050000000000000000e+01,6.000000000000000000e+01,1.954500000000000171e+01,5.000000000000000000e+01,5.900000000000000000e+01,-9.411786988089693295e+01,1.139264460331138196e+02,4.019142384778311339e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000000e+01,6.000000000000000000e+01,1.989900000000000091e+01,5.000000000000000000e+01,5.900000000000000000e+01,-8.988472323264429065e+01,1.129042698350217648e+02,3.698045339762252581e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.150000000000000000e+01,5.999999999999999289e+01,1.973799999999999955e+01,5.000000000000000000e+01,5.900000000000000000e+01,-8.887375456371296423e+01,1.133691578799167416e+02,3.550459668379621547e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.200000000000000000e+01,6.000000000000000711e+01,1.989900000000000091e+01,5.000000000000000000e+01,5.900000000000000000e+01,-8.603323759498212553e+01,1.129042698350217648e+02,3.312896775996036780e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.250000000000000000e+01,6.000000000000000000e+01,1.973799999999999955e+01,5.000000000000000000e+01,5.900000000000000000e+01,-8.522691721698052447e+01,1.133691578799167416e+02,3.185775933706378282e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.300000000000000000e+01,6.000000000000000000e+01,1.989900000000000091e+01,5.000000000000000000e+01,5.900000000000000000e+01,-8.258017457341126999e+01,1.129042698350217648e+02,2.967590473838950871e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.350000000000000000e+01,6.000000000000000000e+01,2.009299999999999997e+01,5.000000000000000000e+01,5.900000000000000000e+01,-7.985382747621825672e+01,1.123440941784402298e+02,2.750973329777802334e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.400000000000000000e+01,6.000000000000000000e+01,2.015700000000000003e+01,5.000000000000000000e+01,5.900000000000000000e+01,-7.801287723086491610e+01,1.121592939618360276e+02,2.585358326902888493e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.450000000000000000e+01,6.000000000000000711e+01,2.012500000000000000e+01,5.000000000000000000e+01,5.900000000000000000e+01,-7.682876146455731714e+01,1.122516940701381287e+02,2.457706739441919552e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+01,6.000000000000000000e+01,2.006099999999999994e+01,5.000000000000000000e+01,5.900000000000000000e+01,-7.590208494339219669e+01,1.124364942867423451e+02,2.346559065664984800e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.550000000000000000e+01,6.000000000000000000e+01,2.022200000000000131e+01,5.000000000000000000e+01,5.900000000000000000e+01,-7.370125931450591850e+01,1.119716062418473683e+02,2.172965307265855373e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.600000000000000000e+01,6.000000000000000000e+01,2.035099999999999909e+01,5.000000000000000000e+01,5.900000000000000000e+01,-7.178228425576395466e+01,1.115991183052544926e+02,2.018316595050946205e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.650000000000000000e+01,6.000000000000000000e+01,2.028600000000000136e+01,5.000000000000000000e+01,5.900000000000000000e+01,-7.109500259910049635e+01,1.117868060252431519e+02,1.930819657385734800e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.700000000000000000e+01,6.000000000000000000e+01,1.996399999999999864e+01,5.000000000000000000e+01,5.900000000000000000e+01,-7.197703136515235656e+01,1.127165821150331055e+02,1.926044925011924747e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.750000000000000000e+01,6.000000000000000000e+01,2.018900000000000006e+01,5.000000000000000000e+01,5.900000000000000000e+01,-6.962042207749429679e+01,1.120668938535339123e+02,1.755352822396038093e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.800000000000000000e+01,6.000000000000000000e+01,2.022200000000000131e+01,5.000000000000000000e+01,5.900000000000000000e+01,-6.849218009917044014e+01,1.119716062418473683e+02,1.652057385732306827e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.850000000000000000e+01,5.999999999999999289e+01,2.054400000000000048e+01,5.000000000000000000e+01,5.900000000000000000e+01,-6.570639332266287624e+01,1.110418301520574147e+02,1.466456317060545622e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.900000000000000000e+01,6.000000000000000000e+01,2.054400000000000048e+01,5.000000000000000000e+01,5.900000000000000000e+01,-6.492719327560854481e+01,1.110418301520574147e+02,1.388536312355113367e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.950000000000000000e+01,6.000000000000000000e+01,2.025400000000000134e+01,5.000000000000000000e+01,5.900000000000000000e+01,-6.590775202986482384e+01,1.118792061335452388e+02,1.402854589631958149e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+01,6.000000000000000000e+01,2.076999999999999957e+01,5.000000000000000000e+01,5.900000000000000000e+01,-6.210485793244686903e+01,1.103892543871737928e+02,1.171560354527307801e+01,0.000000000000000000e+00,1.000000000000000000e+00
