t,MV,PV,DV,SP,MVI,MVP,MVD,MVFF,MAN
0.000000000000000000e+00,5.000000000000000000e+01,2.218799999999999883e+01,5.000000000000000000e+01,5.400000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,5.000000000000000000e+01,2.241300000000000026e+01,5.000000000000000000e+01,5.400000000000000000e+01,-1.371645301146111251e+02,9.120756940433319926e+01,9.595696071027792584e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,2.218799999999999883e+01,5.000000000000000000e+01,5.400000000000000000e+01,-1.333990742430032128e+02,9.185725766583239249e+01,9.154181657717082032e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+00,5.000000000000000000e+01,2.241300000000000026e+01,5.000000000000000000e+01,5.400000000000000000e+01,-1.272018019797657757e+02,9.120756940433319926e+01,8.599423257543257648e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,2.244500000000000028e+01,5.000000000000000000e+01,5.400000000000000000e+01,-1.224428956215807460e+02,9.111516929603108395e+01,8.132772632554966208e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.500000000000000000e+00,5.000000000000000000e+01,2.254200000000000159e+01,5.000000000000000000e+01,5.400000000000000000e+01,-1.175467948120296455e+02,9.083508146774032355e+01,7.671171334428932198e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,2.251000000000000156e+01,5.000000000000000000e+01,5.400000000000000000e+01,-1.136603375653313179e+02,9.092748157604242465e+01,7.273285598928889328e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.500000000000000000e+00,5.000000000000000000e+01,2.254200000000000159e+01,5.000000000000000000e+01,5.400000000000000000e+01,-1.096060730801917202e+02,9.083508146774032355e+01,6.877099161245139669e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,2.225199999999999889e+01,5.000000000000000000e+01,5.400000000000000000e+01,-1.076702896424841214e+02,9.167245744922817607e+01,6.599783219325594530e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.500000000000000000e+00,5.000000000000000711e+01,2.225199999999999889e+01,5.000000000000000000e+01,5.400000000000000000e+01,-1.041635016562215128e+02,9.167245744922817607e+01,6.249104420699334383e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,2.228399999999999892e+01,5.000000000000000000e+01,5.400000000000000000e+01,-1.006534347806420016e+02,9.158005734092607497e+01,5.907337743971592658e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.500000000000000000e+00,4.999999999999999289e+01,2.231599999999999895e+01,5.000000000000000000e+01,5.400000000000000000e+01,-9.732496527519188589e+01,9.148765723262395966e+01,5.583730804256791913e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,2.247800000000000153e+01,5.000000000000000000e+01,5.400000000000000000e+01,-9.339814642596691385e+01,9.101988168434453996e+01,5.237826474162237389e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.500000000000000000e+00,4.999999999999999289e+01,2.260600000000000165e+01,5.000000000000000000e+01,5.400000000000000000e+01,-8.985658592254259247e+01,9.065028125113610713e+01,4.920630467140647823e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,2.257400000000000162e+01,5.000000000000000000e+01,5.400000000000000000e+01,-8.743162572030574609e+01,9.074268135943822244e+01,4.668894436086752364e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.500000000000000000e+00,5.000000000000000711e+01,2.225199999999999889e+01,5.000000000000000000e+01,5.400000000000000000e+01,-8.685878128517106234e+01,9.167245744922817607e+01,4.518632383594289337e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,2.280000000000000071e+01,5.000000000000000000e+01,5.400000000000000000e+01,-8.121071017393489910e+01,9.009010559455458633e+01,4.112060457938031277e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.500000000000000000e+00,5.000000000000000000e+01,2.251000000000000156e+01,5.000000000000000000e+01,5.400000000000000000e+01,-8.074412719085968604e+01,9.092748157604242465e+01,3.981664561481726139e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,2.276800000000000068e+01,5.000000000000000000e+01,5.400000000000000000e+01,-7.709972946383889791e+01,9.018250570285668744e+01,3.691722376098221048e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.500000000000000000e+00,5.000000000000000711e+01,2.276800000000000068e+01,5.000000000000000000e+01,5.400000000000000000e+01,-7.513813659830216807e+01,9.018250570285668744e+01,3.495563089544548774e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,2.273499999999999943e+01,5.000000000000000000e+01,5.400000000000000000e+01,-7.347630983876983635e+01,9.027779331454324563e+01,3.319851652422659072e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.050000000000000000e+01,5.000000000000000000e+01,2.270299999999999940e+01,5.000000000000000000e+01,5.400000000000000000e+01,-7.190192180376401154e+01,9.037019342284534673e+01,3.153172838091866481e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,2.267099999999999937e+01,5.000000000000000000e+01,5.400000000000000000e+01,-7.041609838432741242e+01,9.046259353114746204e+01,2.995350485317995393e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.150000000000000000e+01,5.000000000000000000e+01,2.273499999999999943e+01,5.000000000000000000e+01,5.400000000000000000e+01,-6.844529859018038564e+01,9.027779331454324563e+01,2.816750527563714002e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000711e+01,2.270299999999999940e+01,5.000000000000000000e+01,5.400000000000000000e+01,-6.713823281742165250e+01,9.037019342284534673e+01,2.676803939457631287e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.250000000000000000e+01,5.000000000000000000e+01,2.276800000000000068e+01,5.000000000000000000e+01,5.400000000000000000e+01,-6.533076703506966965e+01,9.018250570285668744e+01,2.514826133221298576e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.300000000000000000e+01,4.999999999999999289e+01,2.270299999999999940e+01,5.000000000000000000e+01,5.400000000000000000e+01,-6.437966554892727800e+01,9.037019342284534673e+01,2.400947212608192416e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.350000000000000000e+01,5.000000000000000000e+01,2.270299999999999940e+01,5.000000000000000000e+01,5.400000000000000000e+01,-6.310392473123334156e+01,9.037019342284534673e+01,2.273373130838799483e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,2.296099999999999852e+01,5.000000000000000000e+01,5.400000000000000000e+01,-6.036722588869592698e+01,8.962521754965960952e+01,2.074200833903632102e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.450000000000000000e+01,5.000000000000000000e+01,2.280000000000000071e+01,5.000000000000000000e+01,5.400000000000000000e+01,-6.021908531812225363e+01,9.009010559455458633e+01,2.012897972356766374e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,2.270299999999999940e+01,5.000000000000000000e+01,5.400000000000000000e+01,-5.972429454721964248e+01,9.037019342284534673e+01,1.935410112437429220e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.550000000000000000e+01,5.000000000000000000e+01,2.289600000000000080e+01,5.000000000000000000e+01,5.400000000000000000e+01,-5.755232078310884702e+01,8.981290526964826881e+01,1.773941551346057821e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,2.276800000000000068e+01,5.000000000000000000e+01,5.400000000000000000e+01,-5.736818559969431419e+01,9.018250570285668744e+01,1.718567989683762320e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.650000000000000000e+01,5.000000000000000000e+01,2.276800000000000068e+01,5.000000000000000000e+01,5.400000000000000000e+01,-5.645502627619545422e+01,9.018250570285668744e+01,1.627252057333876323e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,2.305799999999999983e+01,5.000000000000000000e+01,5.400000000000000000e+01,-5.387203149146956349e+01,8.934512972136884912e+01,1.452690177010071615e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.750000000000000000e+01,5.000000000000000000e+01,2.305799999999999983e+01,5.000000000000000000e+01,5.400000000000000000e+01,-5.310014606869030729e+01,8.934512972136884912e+01,1.375501634732145462e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,2.315399999999999991e+01,5.000000000000000000e+01,5.400000000000000000e+01,-5.180043957940745258e+01,8.906792939646253160e+01,1.273251018294491743e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.850000000000000000e+01,5.000000000000000000e+01,2.321900000000000119e+01,5.000000000000000000e+01,5.400000000000000000e+01,-5.073875018977183515e+01,8.888024167647387230e+01,1.185850851329796107e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,2.296099999999999852e+01,5.000000000000000000e+01,5.400000000000000000e+01,-5.163739394787272374e+01,8.962521754965960952e+01,1.201217639821311423e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.950000000000000000e+01,5.000000000000000000e+01,2.331500000000000128e+01,5.000000000000000000e+01,5.400000000000000000e+01,-4.890154869777371971e+01,8.860304135156754057e+01,1.029850734620617736e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,2.292899999999999849e+01,5.000000000000000000e+01,5.400000000000000000e+01,-5.064152978130036331e+01,8.971761765796172483e+01,1.092391212333864203e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.050000000000000000e+01,5.000000000000000000e+01,2.334799999999999898e+01,5.000000000000000000e+01,5.400000000000000000e+01,-4.757836056265423252e+01,8.850775373988101080e+01,9.070606822773221722e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,2.302499999999999858e+01,5.000000000000000000e+01,5.400000000000000000e+01,-4.901028796689317346e+01,8.944041733305540731e+01,9.569870633837767926e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.150000000000000000e+01,5.000000000000000000e+01,2.341199999999999903e+01,5.000000000000000000e+01,5.400000000000000000e+01,-4.620867730891686875e+01,8.832295352327679439e+01,7.885723785640074368e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,2.315399999999999991e+01,5.000000000000000000e+01,5.400000000000000000e+01,-4.731841457254628125e+01,8.906792939646253160e+01,8.250485176083747874e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.250000000000000000e+01,5.000000000000000000e+01,2.318700000000000117e+01,5.000000000000000000e+01,5.400000000000000000e+01,-4.668448882419262702e+01,8.897264178477597341e+01,7.711847039416656280e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,2.331500000000000128e+01,5.000000000000000000e+01,5.400000000000000000e+01,-4.551627380473540541e+01,8.860304135156754057e+01,6.913232453167863945e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.350000000000000000e+01,5.000000000000000000e+01,2.341199999999999903e+01,5.000000000000000000e+01,5.400000000000000000e+01,-4.457417942908271868e+01,8.832295352327679439e+01,6.251225905805920746e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,2.354100000000000037e+01,5.000000000000000000e+01,5.400000000000000000e+01,-4.347764899664326776e+01,8.795046558668391867e+01,5.527183409959349092e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.450000000000000000e+01,5.000000000000000000e+01,2.360500000000000043e+01,5.000000000000000000e+01,5.400000000000000000e+01,-4.280473926553420938e+01,8.776566537007970226e+01,5.039073895454509788e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,2.363800000000000168e+01,5.000000000000000000e+01,5.400000000000000000e+01,-4.234145152336358109e+01,8.767037775839314406e+01,4.671073764970439690e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.550000000000000000e+01,5.000000000000000000e+01,2.370200000000000173e+01,5.000000000000000000e+01,5.400000000000000000e+01,-4.171403108967842854e+01,8.748557754178894186e+01,4.228453547889484909e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.600000000000000000e+01,5.000000000000000000e+01,2.376699999999999946e+01,5.000000000000000000e+01,5.400000000000000000e+01,-4.110420386962112360e+01,8.729788982180028256e+01,3.806314047820838375e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.650000000000000000e+01,5.000000000000000000e+01,2.376699999999999946e+01,5.000000000000000000e+01,5.400000000000000000e+01,-4.090195576644471487e+01,8.729788982180028256e+01,3.604065944644433195e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000000e+01,2.386299999999999955e+01,5.000000000000000000e+01,5.400000000000000000e+01,-4.014161897671530710e+01,8.702068949689396504e+01,3.120929479821343833e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.750000000000000000e+01,5.000000000000000000e+01,2.392800000000000082e+01,5.000000000000000000e+01,5.400000000000000000e+01,-3.959063993344393850e+01,8.683300177690530575e+01,2.757638156538634533e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.800000000000000000e+01,5.000000000000000000e+01,2.399200000000000088e+01,5.000000000000000000e+01,5.400000000000000000e+01,-3.906488970287222173e+01,8.664820156030108933e+01,2.416688142571130182e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.850000000000000000e+01,5.000000000000000000e+01,2.396000000000000085e+01,5.000000000000000000e+01,5.400000000000000000e+01,-3.912609093461532694e+01,8.674060166860319043e+01,2.385489266012138732e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.900000000000000000e+01,5.000000000000000000e+01,2.396000000000000085e+01,5.000000000000000000e+01,5.400000000000000000e+01,-3.899933820923922667e+01,8.674060166860319043e+01,2.258736540636037571e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.950000000000000000e+01,5.000000000000000000e+01,2.399200000000000088e+01,5.000000000000000000e+01,5.400000000000000000e+01,-3.868970877061598657e+01,8.664820156030108933e+01,2.041507210314895460e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+01,5.000000000000000000e+01,2.408899999999999864e+01,5.000000000000000000e+01,5.400000000000000000e+01,-3.800647301177334469e+01,8.636811373201032893e+01,1.638359279763017984e+00,0.000000000000000000e+00,1.000000000000000000e+00
