t,MV,PV,DV,SP,MVI,MVP,MVD,MVFF,MAN
0.000000000000000000e+00,5.000000000000000000e+01,2.167200000000000060e+01,5.000000000000000000e+01,5.400000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,5.000000000000000000e+01,2.160699999999999932e+01,5.000000000000000000e+01,5.400000000000000000e+01,-1.419403749644663435e+02,9.353489713219252621e+01,9.840547783227381728e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000001421e+01,2.183299999999999841e+01,5.000000000000000000e+01,5.400000000000000000e+01,-1.353724774046505104e+02,9.288232136730889010e+01,9.249015603734163449e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+00,5.000000000000000000e+01,2.183299999999999841e+01,5.000000000000000000e+01,5.400000000000000000e+01,-1.304580225315032465e+02,9.288232136730889010e+01,8.757570116419435635e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,2.192999999999999972e+01,5.000000000000000000e+01,5.400000000000000000e+01,-1.252299362252395838e+02,9.260223353901812970e+01,8.262770268622145409e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.500000000000000000e+00,5.000000000000000000e+01,2.167200000000000060e+01,5.000000000000000000e+01,5.400000000000000000e+01,-1.223682661718748221e+02,9.334720941220388113e+01,7.902105675967094101e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,2.176899999999999835e+01,5.000000000000000000e+01,5.400000000000000000e+01,-1.175947300110869378e+02,9.306712158391310652e+01,7.452760842717383127e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.500000000000000000e+00,5.000000000000000000e+01,2.189699999999999847e+01,5.000000000000000000e+01,5.400000000000000000e+01,-1.128762664222302163e+02,9.269752115070468790e+01,7.017874527152552844e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,2.196199999999999974e+01,5.000000000000000000e+01,5.400000000000000000e+01,-1.087621772738455803e+02,9.250983343071601439e+01,6.625234384312956593e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.500000000000000000e+00,5.000000000000000711e+01,2.192999999999999972e+01,5.000000000000000000e+01,5.400000000000000000e+01,-1.054314775435933313e+02,9.260223353901812970e+01,6.282924400457520875e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000711e+01,2.205900000000000105e+01,5.000000000000000000e+01,5.400000000000000000e+01,-1.013286799723434228e+02,9.222974560242525399e+01,5.909893436991817595e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.500000000000000000e+00,5.000000000000000000e+01,2.202599999999999980e+01,5.000000000000000000e+01,5.400000000000000000e+01,-9.838400128026496816e+01,9.232503321411181219e+01,5.605896806615315597e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,2.215500000000000114e+01,5.000000000000000000e+01,5.400000000000000000e+01,-9.464094162063342708e+01,9.195254527751893647e+01,5.268839634311449061e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.500000000000000000e+00,5.000000000000000711e+01,2.167200000000000060e+01,5.000000000000000000e+01,5.400000000000000000e+01,-9.470330082185907372e+01,9.334720941220388113e+01,5.135609140965519970e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000711e+01,2.205900000000000105e+01,5.000000000000000000e+01,5.400000000000000000e+01,-8.968138364564944709e+01,9.222974560242525399e+01,4.745163804322420020e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.500000000000000000e+00,5.000000000000000000e+01,2.202599999999999980e+01,5.000000000000000000e+01,5.400000000000000000e+01,-8.735558283900348897e+01,9.232503321411181219e+01,4.503054962489167679e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,2.186499999999999844e+01,5.000000000000000000e+01,5.400000000000000000e+01,-8.591687313980042973e+01,9.278992125900680321e+01,4.312695188079362651e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.500000000000000000e+00,4.999999999999999289e+01,2.215500000000000114e+01,5.000000000000000000e+01,5.400000000000000000e+01,-8.190697092558289683e+01,9.195254527751893647e+01,3.995442564806395325e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,2.218799999999999883e+01,5.000000000000000000e+01,5.400000000000000000e+01,-7.958845957995133347e+01,9.185725766583239249e+01,3.773120191411894098e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.500000000000000000e+00,4.999999999999999289e+01,2.218799999999999883e+01,5.000000000000000000e+01,5.400000000000000000e+01,-7.758361606945189237e+01,9.185725766583239249e+01,3.572635840361949278e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,4.999999999999999289e+01,2.221999999999999886e+01,5.000000000000000000e+01,5.400000000000000000e+01,-7.549568800528859924e+01,9.176485755753029139e+01,3.373083044775830075e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.050000000000000000e+01,5.000000000000000000e+01,2.215500000000000114e+01,5.000000000000000000e+01,5.400000000000000000e+01,-7.408855259703896934e+01,9.195254527751893647e+01,3.213600731952003287e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,2.221999999999999886e+01,5.000000000000000000e+01,5.400000000000000000e+01,-7.199586039429922835e+01,9.176485755753029139e+01,3.023100283676893696e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.150000000000000000e+01,5.000000000000000000e+01,2.228399999999999892e+01,5.000000000000000000e+01,5.400000000000000000e+01,-7.001031577350073576e+01,9.158005734092607497e+01,2.843025843257465723e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.200000000000000000e+01,4.999999999999999289e+01,2.234900000000000020e+01,5.000000000000000000e+01,5.400000000000000000e+01,-6.811452815451750098e+01,9.139236962093741568e+01,2.672215853358007820e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.250000000000000000e+01,5.000000000000000000e+01,2.215500000000000114e+01,5.000000000000000000e+01,5.400000000000000000e+01,-6.784416999400610848e+01,9.195254527751893647e+01,2.589162471648717556e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,2.221999999999999886e+01,5.000000000000000000e+01,5.400000000000000000e+01,-6.608327241491130621e+01,9.176485755753029139e+01,2.431841485738101483e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.350000000000000000e+01,5.000000000000000000e+01,2.196199999999999974e+01,5.000000000000000000e+01,5.400000000000000000e+01,-6.631986033836835759e+01,9.250983343071601439e+01,2.381002690765234320e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,2.231599999999999895e+01,5.000000000000000000e+01,5.400000000000000000e+01,-6.295713752191120705e+01,9.148765723262395966e+01,2.146948028928725094e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.450000000000000000e+01,5.000000000000000000e+01,2.238100000000000023e+01,5.000000000000000000e+01,5.400000000000000000e+01,-6.143121012949483628e+01,9.129996951263530036e+01,2.013124061685953592e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,2.225199999999999889e+01,5.000000000000000000e+01,5.400000000000000000e+01,-6.112591093245877971e+01,9.167245744922817607e+01,1.945345348323060364e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.550000000000000000e+01,5.000000000000000000e+01,2.238100000000000023e+01,5.000000000000000000e+01,5.400000000000000000e+01,-5.932788150343337463e+01,9.129996951263530036e+01,1.802791199079807072e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,2.247800000000000153e+01,5.000000000000000000e+01,5.400000000000000000e+01,-5.779520978033706058e+01,9.101988168434453996e+01,1.677532809599252417e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.650000000000000000e+01,5.000000000000000000e+01,2.209100000000000108e+01,5.000000000000000000e+01,5.400000000000000000e+01,-5.919697102915489495e+01,9.213734549412315289e+01,1.705962553503173851e+01,0.000000000000000000e+00,1.000000000000000000e+00
