t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,5.318900000000000006e+01,5.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e+01,5.299600000000000222e+01,5.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,5.309300000000000352e+01,5.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+01,5.331799999999999784e+01,5.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,5.338300000000000267e+01,5.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,5.347899999999999920e+01,5.000000000000000000e+01
6.000000000000000000e+00,5.000000000000000000e+01,5.322200000000000131e+01,5.000000000000000000e+01
7.000000000000000000e+00,5.000000000000000000e+01,5.322200000000000131e+01,5.000000000000000000e+01
8.000000000000000000e+00,5.000000000000000000e+01,5.318900000000000006e+01,5.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000000e+01,5.344700000000000273e+01,5.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,5.357600000000000051e+01,5.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,5.351200000000000045e+01,5.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,5.354399999999999693e+01,5.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,5.347899999999999920e+01,5.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,5.328600000000000136e+01,5.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,5.318900000000000006e+01,5.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,5.328600000000000136e+01,5.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,5.351200000000000045e+01,5.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,5.347899999999999920e+01,5.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,5.373700000000000188e+01,5.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,5.354399999999999693e+01,5.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,5.367300000000000182e+01,5.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,5.364099999999999824e+01,5.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,5.360799999999999699e+01,5.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000000e+01,5.357600000000000051e+01,5.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000000e+01,5.399499999999999744e+01,5.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,5.412400000000000233e+01,5.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,5.402700000000000102e+01,5.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000000e+01,5.389800000000000324e+01,5.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+01,5.409199999999999875e+01,5.000000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+01,5.402700000000000102e+01,5.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,5.422099999999999653e+01,5.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,5.402700000000000102e+01,5.000000000000000000e+01
3.300000000000000000e+01,5.000000000000000000e+01,5.386599999999999966e+01,5.000000000000000000e+01
3.400000000000000000e+01,5.000000000000000000e+01,5.396300000000000097e+01,5.000000000000000000e+01
3.500000000000000000e+01,5.000000000000000000e+01,5.393099999999999739e+01,5.000000000000000000e+01
3.600000000000000000e+01,5.000000000000000000e+01,5.422099999999999653e+01,5.000000000000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,5.435000000000000142e+01,5.000000000000000000e+01
3.800000000000000000e+01,5.000000000000000000e+01,5.435000000000000142e+01,5.000000000000000000e+01
3.900000000000000000e+01,5.000000000000000000e+01,5.460699999999999932e+01,5.000000000000000000e+01
4.000000000000000000e+01,5.000000000000000000e+01,5.457500000000000284e+01,5.000000000000000000e+01
4.100000000000000000e+01,5.000000000000000000e+01,5.435000000000000142e+01,5.000000000000000000e+01
4.200000000000000000e+01,5.000000000000000000e+01,5.431700000000000017e+01,5.000000000000000000e+01
4.300000000000000000e+01,5.000000000000000000e+01,5.451100000000000279e+01,5.000000000000000000e+01
4.400000000000000000e+01,5.000000000000000000e+01,5.447899999999999920e+01,5.000000000000000000e+01
4.500000000000000000e+01,5.000000000000000000e+01,5.467199999999999704e+01,5.000000000000000000e+01
4.600000000000000000e+01,5.000000000000000000e+01,5.412400000000000233e+01,5.000000000000000000e+01
4.700000000000000000e+01,5.000000000000000000e+01,5.431700000000000017e+01,5.000000000000000000e+01
4.800000000000000000e+01,5.000000000000000000e+01,5.444599999999999795e+01,5.000000000000000000e+01
4.900000000000000000e+01,5.000000000000000000e+01,5.460699999999999932e+01,5.000000000000000000e+01
5.000000000000000000e+01,5.000000000000000000e+01,5.438199999999999790e+01,5.000000000000000000e+01
5.100000000000000000e+01,5.000000000000000000e+01,5.454299999999999926e+01,5.000000000000000000e+01
5.200000000000000000e+01,5.000000000000000000e+01,5.422099999999999653e+01,5.000000000000000000e+01
5.300000000000000000e+01,5.000000000000000000e+01,5.409199999999999875e+01,5.000000000000000000e+01
5.400000000000000000e+01,5.000000000000000000e+01,5.428499999999999659e+01,5.000000000000000000e+01
5.500000000000000000e+01,5.000000000000000000e+01,5.428499999999999659e+01,5.000000000000000000e+01
5.600000000000000000e+01,5.000000000000000000e+01,5.422099999999999653e+01,5.000000000000000000e+01
5.700000000000000000e+01,5.000000000000000000e+01,5.457500000000000284e+01,5.000000000000000000e+01
5.800000000000000000e+01,5.000000000000000000e+01,5.425300000000000011e+01,5.000000000000000000e+01
5.900000000000000000e+01,5.000000000000000000e+01,5.444599999999999795e+01,5.000000000000000000e+01
6.000000000000000000e+01,5.000000000000000000e+01,5.418800000000000239e+01,5.000000000000000000e+01
6.100000000000000000e+01,5.000000000000000000e+01,5.406000000000000227e+01,5.000000000000000000e+01
6.200000000000000000e+01,5.000000000000000000e+01,5.393099999999999739e+01,5.000000000000000000e+01
6.300000000000000000e+01,5.000000000000000000e+01,5.425300000000000011e+01,5.000000000000000000e+01
6.400000000000000000e+01,5.000000000000000000e+01,5.431700000000000017e+01,5.000000000000000000e+01
6.500000000000000000e+01,5.000000000000000000e+01,5.438199999999999790e+01,5.000000000000000000e+01
6.600000000000000000e+01,5.000000000000000000e+01,5.399499999999999744e+01,5.000000000000000000e+01
6.700000000000000000e+01,5.000000000000000000e+01,5.377000000000000313e+01,5.000000000000000000e+01
6.800000000000000000e+01,5.000000000000000000e+01,5.399499999999999744e+01,5.000000000000000000e+01
6.900000000000000000e+01,5.000000000000000000e+01,5.444599999999999795e+01,5.000000000000000000e+01
7.000000000000000000e+01,5.000000000000000000e+01,5.444599999999999795e+01,5.000000000000000000e+01
7.100000000000000000e+01,5.000000000000000000e+01,5.447899999999999920e+01,5.000000000000000000e+01
7.200000000000000000e+01,5.000000000000000000e+01,5.444599999999999795e+01,5.000000000000000000e+01
7.300000000000000000e+01,5.000000000000000000e+01,5.441400000000000148e+01,5.000000000000000000e+01
7.400000000000000000e+01,5.000000000000000000e+01,5.415599999999999881e+01,5.000000000000000000e+01
7.500000000000000000e+01,5.000000000000000000e+01,5.428499999999999659e+01,5.000000000000000000e+01
7.600000000000000000e+01,5.000000000000000000e+01,5.425300000000000011e+01,5.000000000000000000e+01
7.700000000000000000e+01,5.000000000000000000e+01,5.454299999999999926e+01,5.000000000000000000e+01
7.800000000000000000e+01,5.000000000000000000e+01,5.428499999999999659e+01,5.000000000000000000e+01
7.900000000000000000e+01,5.000000000000000000e+01,5.441400000000000148e+01,5.000000000000000000e+01
8.000000000000000000e+01,5.000000000000000000e+01,5.415599999999999881e+01,5.000000000000000000e+01
8.100000000000000000e+01,5.000000000000000000e+01,5.451100000000000279e+01,5.000000000000000000e+01
8.200000000000000000e+01,5.000000000000000000e+01,5.441400000000000148e+01,5.000000000000000000e+01
8.300000000000000000e+01,5.000000000000000000e+01,5.460699999999999932e+01,5.000000000000000000e+01
8.400000000000000000e+01,5.000000000000000000e+01,5.415599999999999881e+01,5.000000000000000000e+01
8.500000000000000000e+01,5.000000000000000000e+01,5.406000000000000227e+01,5.000000000000000000e+01
8.600000000000000000e+01,5.000000000000000000e+01,5.399499999999999744e+01,5.000000000000000000e+01
8.700000000000000000e+01,5.000000000000000000e+01,5.444599999999999795e+01,5.000000000000000000e+01
8.800000000000000000e+01,5.000000000000000000e+01,5.425300000000000011e+01,5.000000000000000000e+01
8.900000000000000000e+01,5.000000000000000000e+01,5.428499999999999659e+01,5.000000000000000000e+01
9.000000000000000000e+01,5.000000000000000000e+01,5.396300000000000097e+01,5.000000000000000000e+01
9.100000000000000000e+01,5.000000000000000000e+01,5.415599999999999881e+01,5.000000000000000000e+01
9.200000000000000000e+01,5.000000000000000000e+01,5.415599999999999881e+01,5.000000000000000000e+01
9.300000000000000000e+01,5.000000000000000000e+01,5.441400000000000148e+01,5.000000000000000000e+01
9.400000000000000000e+01,5.000000000000000000e+01,5.425300000000000011e+01,5.000000000000000000e+01
9.500000000000000000e+01,5.000000000000000000e+01,5.415599999999999881e+01,5.000000000000000000e+01
9.600000000000000000e+01,5.000000000000000000e+01,5.389800000000000324e+01,5.000000000000000000e+01
9.700000000000000000e+01,5.000000000000000000e+01,5.402700000000000102e+01,5.000000000000000000e+01
9.800000000000000000e+01,5.000000000000000000e+01,5.389800000000000324e+01,5.000000000000000000e+01
9.900000000000000000e+01,5.000000000000000000e+01,5.406000000000000227e+01,5.000000000000000000e+01
1.000000000000000000e+02,5.000000000000000000e+01,5.422099999999999653e+01,5.000000000000000000e+01
1.010000000000000000e+02,5.000000000000000000e+01,5.425300000000000011e+01,5.000000000000000000e+01
1.020000000000000000e+02,5.000000000000000000e+01,5.402700000000000102e+01,5.000000000000000000e+01
1.030000000000000000e+02,5.000000000000000000e+01,5.431700000000000017e+01,5.000000000000000000e+01
1.040000000000000000e+02,5.000000000000000000e+01,5.409199999999999875e+01,5.000000000000000000e+01
1.050000000000000000e+02,5.000000000000000000e+01,5.409199999999999875e+01,5.000000000000000000e+01
1.060000000000000000e+02,5.000000000000000000e+01,5.406000000000000227e+01,5.000000000000000000e+01
1.070000000000000000e+02,5.000000000000000000e+01,5.412400000000000233e+01,5.000000000000000000e+01
1.080000000000000000e+02,5.000000000000000000e+01,5.389800000000000324e+01,5.000000000000000000e+01
1.090000000000000000e+02,5.000000000000000000e+01,5.383400000000000318e+01,5.000000000000000000e+01
1.100000000000000000e+02,5.000000000000000000e+01,5.402700000000000102e+01,5.000000000000000000e+01
1.110000000000000000e+02,5.000000000000000000e+01,5.428499999999999659e+01,5.000000000000000000e+01
1.120000000000000000e+02,5.000000000000000000e+01,5.428499999999999659e+01,5.000000000000000000e+01
1.130000000000000000e+02,5.000000000000000000e+01,5.435000000000000142e+01,5.000000000000000000e+01
1.140000000000000000e+02,5.000000000000000000e+01,5.418800000000000239e+01,5.000000000000000000e+01
1.150000000000000000e+02,5.000000000000000000e+01,5.409199999999999875e+01,5.000000000000000000e+01
1.160000000000000000e+02,5.000000000000000000e+01,5.415599999999999881e+01,5.000000000000000000e+01
1.170000000000000000e+02,5.000000000000000000e+01,5.460699999999999932e+01,5.000000000000000000e+01
1.180000000000000000e+02,5.000000000000000000e+01,5.428499999999999659e+01,5.000000000000000000e+01
1.190000000000000000e+02,5.000000000000000000e+01,5.435000000000000142e+01,5.000000000000000000e+01
1.200000000000000000e+02,5.000000000000000000e+01,5.409199999999999875e+01,5.000000000000000000e+01
1.210000000000000000e+02,5.000000000000000000e+01,5.435000000000000142e+01,5.000000000000000000e+01
1.220000000000000000e+02,5.000000000000000000e+01,5.457500000000000284e+01,5.000000000000000000e+01
1.230000000000000000e+02,5.000000000000000000e+01,5.470400000000000063e+01,5.000000000000000000e+01
1.240000000000000000e+02,5.000000000000000000e+01,5.470400000000000063e+01,5.000000000000000000e+01
1.250000000000000000e+02,5.000000000000000000e+01,5.473599999999999710e+01,5.000000000000000000e+01
1.260000000000000000e+02,5.000000000000000000e+01,5.441400000000000148e+01,5.000000000000000000e+01
1.270000000000000000e+02,5.000000000000000000e+01,5.447899999999999920e+01,5.000000000000000000e+01
1.280000000000000000e+02,5.000000000000000000e+01,5.415599999999999881e+01,5.000000000000000000e+01
1.290000000000000000e+02,5.000000000000000000e+01,5.402700000000000102e+01,5.000000000000000000e+01
